whatsapp_conversations.pipeline_stage_id	src/app/api/ai/test/route.ts:467 (select)
whatsapp_messages.external_id	src/app/api/whatsapp/route.ts:187 (insert)
whatsapp_messages.media_type	src/app/api/whatsapp/route.ts:187 (insert)
whatsapp_messages.sender_name	src/lib/services/whatsapp/message-service.ts:149 (insert)
whatsapp_messages.type	src/app/api/whatsapp/messages/route.ts:168 (insert)
whatsapp_messages.wa_message_id	src/app/api/ai/test/webhook/route.ts:210 (insert)
whatsapp_quick_replies.created_by	src/app/api/whatsapp/inbox/quick-replies/route.ts:76 (insert)
whatsapp_quick_replies.last_used_at	src/app/api/whatsapp/inbox/quick-replies/[id]/route.ts:93 (update)
whatsapp_quick_replies.media_filename	src/app/api/whatsapp/inbox/quick-replies/route.ts:76 (insert)
whatsapp_quick_replies.media_type	src/app/api/whatsapp/inbox/quick-replies/route.ts:76 (insert)
whatsapp_quick_replies.media_url	src/app/api/whatsapp/inbox/quick-replies/route.ts:76 (insert)
whatsapp_quick_replies.use_count	src/app/api/whatsapp/inbox/quick-replies/[id]/route.ts:93 (update)
whatsapp_tags.usage_count	src/lib/services/whatsapp/conversation-service.ts:521 (update)
